s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 2.2307631E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2307631E-015, 0.0000000E+000, 0.0000000E+000
 6.2017366E-002, 0.0000000E+000, 2.2307631E-015, 3.8845348E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8845348E-006, 0.0000000E+000, 0.0000000E+000
 1.2403473E-001, 0.0000000E+000,-1.8538622E-008, 1.1037092E-006,-7.6970151E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4863267E-004, 1.0774736E-006, 0.0000000E+000, 0.0000000E+000
 1.2448479E-001, 0.0000000E+000,-1.8197315E-004,-1.5236832E-002,-1.3257290E-008, 0.0000000E+000, 0.0000000E+000,-3.3021552E-002, 6.5786437E-005,-4.8440371E-002, 0.0000000E+000, 1.2098354E-002
 1.2493485E-001, 0.0000000E+000, 4.3660247E-003,-2.2959748E-002, 1.0859597E-004, 0.0000000E+000, 0.0000000E+000,-9.8367868E-002,-5.2076360E-002,-1.1685300E-001, 0.0000000E+000, 1.0896995E-002
 1.2538491E-001, 0.0000000E+000, 1.0431111E-002,-2.7346908E-002, 2.9141960E-004, 0.0000000E+000, 0.0000000E+000,-1.5485782E-001,-1.1760147E-001,-1.7148219E-001, 0.0000000E+000, 9.9862000E-003
 1.2583497E-001, 0.0000000E+000, 1.3888401E-002,-2.9502045E-002, 7.1680838E-004, 0.0000000E+000, 0.0000000E+000,-2.0319202E-001,-1.7136739E-001,-2.1808885E-001, 0.0000000E+000, 9.3888454E-003
 1.2628503E-001, 0.0000000E+000, 1.0678925E-002,-3.1658006E-002, 7.0531631E-004, 0.0000000E+000, 0.0000000E+000,-2.4093778E-001,-2.1836560E-001,-2.6121154E-001, 0.0000000E+000, 8.8493000E-003
 1.2673509E-001, 0.0000000E+000, 1.0212237E-002,-3.2839345E-002, 1.5350929E-003, 0.0000000E+000, 0.0000000E+000,-2.7781695E-001,-2.6128630E-001,-2.9890896E-001, 0.0000000E+000, 8.4684940E-003
 1.2718515E-001, 0.0000000E+000, 1.0205490E-002,-3.3967972E-002, 1.4710340E-003, 0.0000000E+000, 0.0000000E+000,-3.1172349E-001,-2.9994336E-001,-3.3401494E-001, 0.0000000E+000, 8.0562201E-003
 1.2763521E-001, 0.0000000E+000, 7.7664135E-003,-3.4932837E-002, 1.3957395E-003, 0.0000000E+000, 0.0000000E+000,-3.4123403E-001,-3.3511337E-001,-3.6700472E-001, 0.0000000E+000, 7.6905692E-003
 1.2813027E-001, 0.0000000E+000, 7.9081547E-003,-3.4965591E-002, 1.2899188E-003, 0.0000000E+000, 0.0000000E+000,-3.5134284E-001,-3.6824514E-001,-3.7711036E-001, 0.0000000E+000, 7.3373282E-003
 1.2862533E-001, 0.0000000E+000, 6.7519069E-003,-3.5480623E-002, 1.6124998E-003, 0.0000000E+000, 0.0000000E+000,-3.7882048E-001,-3.7802204E-001,-4.0593669E-001, 0.0000000E+000, 7.0441000E-003
 1.2912041E-001, 0.0000000E+000, 7.1781138E-003,-3.5743729E-002, 1.8318998E-003, 0.0000000E+000, 0.0000000E+000,-4.0564552E-001,-4.0712470E-001,-4.3237924E-001, 0.0000000E+000, 6.7242847E-003
 1.2961547E-001, 0.0000000E+000, 6.7489914E-003,-3.5777308E-002, 1.7482706E-003, 0.0000000E+000, 0.0000000E+000,-4.2968127E-001,-4.3376854E-001,-4.5696132E-001, 0.0000000E+000, 6.5215893E-003
 1.3011053E-001, 0.0000000E+000, 6.9571025E-003,-3.5699710E-002, 1.7725754E-003, 0.0000000E+000, 0.0000000E+000,-4.5320499E-001,-4.5847973E-001,-4.8017502E-001, 0.0000000E+000, 6.2600459E-003
 1.3060559E-001, 0.0000000E+000, 7.4074907E-003,-3.5505612E-002, 1.8840280E-003, 0.0000000E+000, 0.0000000E+000,-4.7479362E-001,-4.8179890E-001,-5.0100771E-001, 0.0000000E+000, 6.0987826E-003
 1.3110067E-001, 0.0000000E+000, 7.4182761E-003,-3.5289442E-002, 1.8373863E-003, 0.0000000E+000, 0.0000000E+000,-4.9530481E-001,-5.0254670E-001,-5.2133859E-001, 0.0000000E+000, 5.8897946E-003
 1.3159573E-001, 0.0000000E+000, 8.2284141E-003,-3.4908199E-002, 1.7935382E-003, 0.0000000E+000, 0.0000000E+000,-5.1542061E-001,-5.2298243E-001,-5.4030686E-001, 0.0000000E+000, 5.7024237E-003
 1.3209079E-001, 0.0000000E+000, 8.3390014E-003,-3.4529550E-002, 1.9023190E-003, 0.0000000E+000, 0.0000000E+000,-5.3301520E-001,-5.4192298E-001,-5.5730343E-001, 0.0000000E+000, 5.4951997E-003
 1.3258585E-001, 0.0000000E+000, 8.6813242E-003,-3.4289729E-002, 1.7954844E-003, 0.0000000E+000, 0.0000000E+000,-5.5136898E-001,-5.5917543E-001,-5.7518190E-001, 0.0000000E+000, 5.4216511E-003
 1.3308093E-001, 0.0000000E+000, 8.0496195E-003,-3.3999876E-002, 1.7663185E-003, 0.0000000E+000, 0.0000000E+000,-5.6785699E-001,-5.7683029E-001,-5.9204093E-001, 0.0000000E+000, 5.2568482E-003
 1.3357599E-001, 0.0000000E+000, 9.1196719E-003,-3.3690051E-002, 1.6692022E-003, 0.0000000E+000, 0.0000000E+000,-5.8550701E-001,-5.9380163E-001,-6.0840819E-001, 0.0000000E+000, 5.1140900E-003
 1.3407105E-001, 0.0000000E+000, 8.9635236E-003,-3.3250021E-002, 1.4476847E-003, 0.0000000E+000, 0.0000000E+000,-6.0000029E-001,-6.1005887E-001,-6.2283910E-001, 0.0000000E+000, 4.9134746E-003
