s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 1.3553176E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3553176E-015, 0.0000000E+000, 0.0000000E+000
 8.4515423E-002, 0.0000000E+000, 1.3553176E-015, 1.5918468E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5918468E-006, 0.0000000E+000, 0.0000000E+000
 1.6903085E-001, 0.0000000E+000,-1.0319556E-008, 4.5139595E-007,-6.2786190E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0724711E-005, 4.3479777E-007, 0.0000000E+000, 0.0000000E+000
 1.7803386E-001, 0.0000000E+000,-7.1917301E-005,-3.0222938E-003,-9.5747573E-009, 0.0000000E+000, 0.0000000E+000,-7.1070081E-004, 2.6880311E-005,-3.8049215E-003, 0.0000000E+000, 2.4284270E-003
 1.8703687E-001, 0.0000000E+000, 6.6784954E-003,-5.5991835E-003, 3.6287574E-007, 0.0000000E+000, 0.0000000E+000,-8.4517995E-003,-8.1158568E-003,-7.3721248E-003, 0.0000000E+000, 1.9510100E-003
 1.9603989E-001, 0.0000000E+000, 2.2233941E-002,-5.2809726E-003, 1.0523879E-006, 0.0000000E+000, 0.0000000E+000,-2.5028671E-002,-8.9690225E-003,-8.0746500E-003, 0.0000000E+000, 1.4039630E-003
 2.0504288E-001, 0.0000000E+000, 2.1934414E-002,-6.5751322E-003, 8.3535945E-007, 0.0000000E+000, 0.0000000E+000,-2.5794040E-002,-8.7421799E-003,-1.0433922E-002, 0.0000000E+000, 1.6398482E-003
 2.1404590E-001, 0.0000000E+000, 1.6885371E-002,-7.6050142E-003, 5.5055011E-007, 0.0000000E+000, 0.0000000E+000,-2.1832846E-002,-1.1043735E-002,-1.2551939E-002, 0.0000000E+000, 1.6523903E-003
 2.2304891E-001, 0.0000000E+000, 1.5208322E-002,-7.6837455E-003, 3.8244913E-007, 0.0000000E+000, 0.0000000E+000,-2.1365114E-002,-1.3047136E-002,-1.3840156E-002, 0.0000000E+000, 1.6029078E-003
 2.3205192E-001, 0.0000000E+000, 1.5977136E-002,-8.5908998E-003, 2.0370677E-007, 0.0000000E+000, 0.0000000E+000,-2.3417831E-002,-1.4278591E-002,-1.6031391E-002, 0.0000000E+000, 1.6636229E-003
 2.4105494E-001, 0.0000000E+000, 1.3740654E-002,-9.1585601E-003, 3.8640768E-007, 0.0000000E+000, 0.0000000E+000,-2.2436648E-002,-1.6486975E-002,-1.7854168E-002, 0.0000000E+000, 1.6123248E-003
 2.5005794E-001, 0.0000000E+000, 1.7251511E-002,-9.8898400E-003,-8.2272169E-008, 0.0000000E+000, 0.0000000E+000,-2.7135462E-002,-1.8267832E-002,-1.9773873E-002, 0.0000000E+000, 1.6139999E-003
 2.5906095E-001, 0.0000000E+000, 1.4758184E-002,-1.0268278E-002,-8.7540381E-008, 0.0000000E+000, 0.0000000E+000,-2.6000490E-002,-2.0205540E-002,-2.1510671E-002, 0.0000000E+000, 1.6815874E-003
 2.6806396E-001, 0.0000000E+000, 1.5148945E-002,-1.0725930E-002,-8.5945742E-008, 0.0000000E+000, 0.0000000E+000,-2.7600054E-002,-2.1951392E-002,-2.3177124E-002, 0.0000000E+000, 1.8728070E-003
 2.7706698E-001, 0.0000000E+000, 1.5914496E-002,-1.1993298E-002,-4.1052791E-007, 0.0000000E+000, 0.0000000E+000,-2.9573494E-002,-2.3735978E-002,-2.5652707E-002, 0.0000000E+000, 1.9817039E-003
 2.8606999E-001, 0.0000000E+000, 1.9386744E-002,-1.2912657E-002, 1.7717650E-007, 0.0000000E+000, 0.0000000E+000,-3.4453007E-002,-2.6165203E-002,-2.7978744E-002, 0.0000000E+000, 2.0070469E-003
 2.9507300E-001, 0.0000000E+000, 1.8650734E-002,-1.3100189E-002,-6.6651725E-009, 0.0000000E+000, 0.0000000E+000,-3.4964098E-002,-2.8507881E-002,-2.9413559E-002, 0.0000000E+000, 1.9498013E-003
 3.0407599E-001, 0.0000000E+000, 2.1738807E-002,-1.3394672E-002,-7.3176605E-009, 0.0000000E+000, 0.0000000E+000,-3.9323698E-002,-2.9908534E-002,-3.0979570E-002, 0.0000000E+000, 1.9748868E-003
 3.1307900E-001, 0.0000000E+000, 2.1424260E-002,-1.4002956E-002, 6.2042292E-008, 0.0000000E+000, 0.0000000E+000,-4.0462613E-002,-3.1517952E-002,-3.3041246E-002, 0.0000000E+000, 1.9144810E-003
 3.2208201E-001, 0.0000000E+000, 2.1129233E-002,-1.4794594E-002, 1.8309698E-007, 0.0000000E+000, 0.0000000E+000,-4.1515119E-002,-3.3545261E-002,-3.5180297E-002, 0.0000000E+000, 1.8642751E-003
 3.3108503E-001, 0.0000000E+000, 2.4931614E-002,-1.6061898E-002, 1.5846121E-007, 0.0000000E+000, 0.0000000E+000,-4.6614098E-002,-3.5667485E-002,-3.7744223E-002, 0.0000000E+000, 2.0462683E-003
 3.4008804E-001, 0.0000000E+000, 2.7617496E-002,-1.6000016E-002, 1.3833893E-007, 0.0000000E+000, 0.0000000E+000,-5.0958722E-002,-3.8299012E-002,-3.9341104E-002, 0.0000000E+000, 2.0528619E-003
 3.4909105E-001, 0.0000000E+000, 2.6423908E-002,-1.5954398E-002, 1.9444123E-008, 0.0000000E+000, 0.0000000E+000,-5.1141664E-002,-3.9974587E-002,-4.0672135E-002, 0.0000000E+000, 1.8836924E-003
 3.5809407E-001, 0.0000000E+000, 2.8266369E-002,-1.6997366E-002,-2.4131404E-008, 0.0000000E+000, 0.0000000E+000,-5.4440348E-002,-4.1225904E-002,-4.3171369E-002, 0.0000000E+000, 2.1507214E-003
 3.6709708E-001, 0.0000000E+000, 2.9894456E-002,-1.6424261E-002,-2.0789394E-008, 0.0000000E+000, 0.0000000E+000,-5.7940496E-002,-4.3828609E-002,-4.4470322E-002, 0.0000000E+000, 1.9728330E-003
 3.7610006E-001, 0.0000000E+000, 2.9752213E-002,-1.7049376E-002, 2.6912761E-008, 0.0000000E+000, 0.0000000E+000,-5.9261274E-002,-4.5138382E-002,-4.6558411E-002, 0.0000000E+000, 2.1351358E-003
 3.8510308E-001, 0.0000000E+000, 2.9433258E-002,-1.7443413E-002, 1.7855449E-007, 0.0000000E+000, 0.0000000E+000,-6.0415290E-002,-4.7189120E-002,-4.8425266E-002, 0.0000000E+000, 2.1708247E-003
 3.9410609E-001, 0.0000000E+000, 3.0819246E-002,-1.7554907E-002, 5.2048332E-007, 0.0000000E+000, 0.0000000E+000,-6.3694558E-002,-4.9140174E-002,-5.0429698E-002, 0.0000000E+000, 2.1222660E-003
 4.0310910E-001, 0.0000000E+000, 3.4442466E-002,-1.7858010E-002, 6.8501147E-007, 0.0000000E+000, 0.0000000E+000,-6.8816413E-002,-5.1154381E-002,-5.2231272E-002, 0.0000000E+000, 2.1007340E-003
