,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-25T23:39:41.505-06:00,   0.845E-01,   0.08452,  14.18991
      2,2020-10-25T23:39:41.820-06:00,   0.845E-01,   0.16903,  14.78655
      3,2020-10-25T23:39:42.338-06:00,   0.900E-02,   0.17803,  15.77534
      4,2020-10-25T23:39:42.700-06:00,   0.900E-02,   0.18704,  16.45969
      5,2020-10-25T23:39:43.010-06:00,   0.900E-02,   0.19604,  17.04715
      6,2020-10-25T23:39:43.467-06:00,   0.900E-02,   0.20504,  17.91866
      7,2020-10-25T23:39:43.775-06:00,   0.900E-02,   0.21405,  18.49000
      8,2020-10-25T23:39:44.122-06:00,   0.900E-02,   0.22305,  19.14622
      9,2020-10-25T23:39:44.554-06:00,   0.900E-02,   0.23205,  19.96447
     10,2020-10-25T23:39:44.909-06:00,   0.900E-02,   0.24105,  20.62699
     20,2020-10-25T23:39:48.475-06:00,   0.900E-02,   0.33109,  27.41936
     30,2020-10-25T23:39:52.345-06:00,   0.900E-02,   0.42112,  34.56264
     40,2020-10-25T23:39:57.520-06:00,   0.900E-02,   0.51115,  42.37444
     50,2020-10-25T23:40:02.619-06:00,   0.900E-02,   0.60118,  50.09391
     60,2020-10-25T23:40:07.030-06:00,   0.900E-02,   0.69121,  57.64220
     70,2020-10-25T23:40:11.027-06:00,   0.900E-02,   0.78124,  64.77447
     80,2020-10-25T23:40:16.480-06:00,   0.900E-02,   0.87127,  72.94093
     90,2020-10-25T23:40:23.210-06:00,   0.900E-02,   0.96130,  81.70326
    100,2020-10-25T23:40:27.709-06:00,   0.900E-02,   1.05133,  89.09341
    200,2020-10-25T23:41:10.096-06:00,   0.900E-02,   1.95163, 162.88771
    300,2020-10-25T23:41:56.017-06:00,   0.900E-02,   2.85193, 239.38642
    400,2020-10-25T23:42:45.811-06:00,   0.900E-02,   3.75223, 318.00067
    500,2020-10-25T23:43:29.101-06:00,   0.900E-02,   4.65253, 393.04972
    539,2020-10-25T23:43:45.896-06:00,   0.536E-02,   5.00000, 422.31028
